,opinion,rates
15,"Me encantó, tanto la calidad como la cantidad! Buenasso el choclo de carne, tamales y arroz chifa y muy tranquilo el espacio. Volveré!",50
16,"He visitado este local muchas veces y es una buena opción para cenar en grupo , ricos jugos y buena variedad de platos.",40
17,"Comer en este restaurante fue una experiencia agradable al igual que los desayunoes tiene un sasón icomparable la tención y la cantidad de los alimentos es suficiente.",50
18,"Habiamos comido en otras sucursales de tanta en Lima, e incluso en Chile (Santiago). Esta vez comimos en Larcomar y no fue una buena decision. Tiene una vista muy muy buena, pero la comida no nos gusto tanto. Tal vez fue por el horario (4.00PM)... ;""Más",30
19,"Muy buena comida, porciones de buen tamaño. La mismas en general son tipicas peruanas. Buena variedad de bebidas.",40
20,"Una carta variada que mezcla en los platos los mejores productos peruanos. Desde pescados, carnes res, cerdo, anticuchos, sopas y legumbres, y los postres que son una delicia. Trato amable de los mozos y ambiente acogedor. Incluso hay bebidas en el bar con hierbas y... ;""Más",50
21,"Me gustó mucho la ensalada con trucha y el jugo de mango-mandarina-naranja, realmente rico y refrescante, la atención A-1... lástima que ya no preparan la ensalada de atún que es muy buena también...",50
22,"Los mejores platillos, como en casa, recetas de la abuela y muchos mas. Todo sabroso en un ambiente bastante agradable y acogedor. El personal muy atento, rapida atencion. Super recomendado !!",50
23,"Concurrimos al Tanta de Miraflores a almorzar, lugar excelente, con vista excelente, comida súper excelente. Lo mejor EL CAMARERO posterior a tomarnos la orden nos consulto SI ALGUNO DE NOSOTROS ÉRAMOS ALÉRGICO A ALGUNO DE SUS INGREDIENTES, eso nadie lo consulta y es fabuloso.",50
24,"Uno de los mejores restaurantes de Perú.
Siempre se pueden encontrar platos deliciosos.
Esta vez aprendí que Tanta significa Pan Caliente en idioma Quechua.
Un imperdible de Peru y Lima.",50
25,"Muy interesante carta, pero quería ""picotear"", por lo que arranqué mal pidiendo algo que me dijeron ""no queda más"". Pero el mesero fue tan amable que me ""armó"" una alternativa que no figuraba en carta, con lo que compensó totalmente esa falta. 
La comida llegó... ;""Más",40
26,"Sumamente deliciosa la comida!! El lugar muy agradable nos sentamos en la terraza y estuvo muy bien! 
Pidan el plato que tiene de varios platillos así prueban de todo ya que todo está delicioso!!",50
27,"Comida típica Peruana y otras variedades en una amplia carta con precios moderados a altos. Única sugerencia, cuidar la crocancia de panes de sus sándwiches, ya que el pan del que pedí, se encontraba duro y difícil de cortar y comer.

Recomiendo la ensalada cobb,... ;""Más",40
28,"Es una buena opción para ir en ocasiones especiales o en un dia cualquiera, que termina siendo especial. Ofrece variedad de platos, buenas porciones y precios razonables. La atención siempre es buena, aunque en esta oportunidad el mozo fue algo lento y mesas que llegaron... ;""Más",50
29,"Fui por pasteles y tienen una variedad de sabores colores y presentaciones de lo mejor ... la vista maravillosa la atención buena ... y el lugar",50
30,"Exellente lugar,cada plato a otro color,muy buen trato y con mucha paciensia,buen precio por lo que recibis,",50
31,"Me encantan las entradas así como los platos fuertes en Tanta, es un lugar al cual siempre voy cuando visito Lima. Los precios sin ser lo más económico no son exorbitantes y la atención es buena. Recomendado el pisco catedral y el pastel de choclo",50
32,"Me encanta un postre que se llama “Lucumita “. Es delicioso suave como un mousse pero hay que tener mucha suerte porque no siempre lo tienen. Vale la pena probarlo no se arrepentirán 👍. La carta es variada.",40
33,"Excelente servicio, alimentos, los piscopolitan los mejores, la vista al mar es espectacular, sin duda recomendable",50
34,"Fui al Tanta de Jockey Plaza. No pude tomar foto a todo porque estaba delicioso. El servicio de Pedro fue magnifico y tambien de todos pero lamentablemente pude preguntar sus nombres.
Consejo: Si desean comida saludable sin mucha sal y jugos con poca azucar es... ;""Más",50
35,"Buen pisco sour, atención muy buena y amable, ubicación buena frente al mar, me encanto, seguro volveria.",50
36,"Fui a cenar con mi enamorado, muy bueno, la atención Buena también, de entrada nos pedimos "" causas limeñas "" la vrdd muy bien preparado, solo vienen 5 causitas, pequeñas pero vale la pena probarlo, luego de fondo pedimos lomo saltado y el asado de... ;""Más",40
37,"Unos de los mejores restaurantes de Lima. Me encantó la comida y la atención.
El ambiente festivo y agradable",50
38,"Ubicado en un mall, habitualmente debes hacer fila o tomar turno para poder comer a la hora de almuerzo, recomiendo ir pasadas las 16.00hrs o ir para cenar (no hay que hacer fila).
Vista espectacular de la playa, desde altura. Atención rápida, amplia carta de... ;""Más",50
39,"En el shopping Larcomar ,con inmejorable vista al Océano Pacífico ,el personal es muy atento y los platos ,bueno bueno exquisitos ,asesoran muy bien ,lo mejor para una bonito día en Lima ,recomendable ,variedad de platos,y los postres otra delicia.",50
40,"En general bien para comer comida clásica del Perú pero no probé algo sobresaliente. Lo más destacable son sus ubicaciones y la presentación se sus locales.",30
41,"La comida una de las mejores que probé en perú. Comida típica de allí y no muy mal de precio.
Atención muy buena, aunque no muy cómoda la situación de que el camarero te pida propina.",50
42,"Fuimos a desayunar el domingo del Día de la Madre al Tanta de Chacarilla. Tuvimos la suerte de encontrar mesa de inmediato. Hubo cierta demora pero totalmente manejable, más aun en una fecha como esta. La atención siempre es buena en este restaurante, la comida... ;""Más",50
43,"Se come bastante bien, tienes platos criollos caseros bien preparados, buena variedad y a un precio justo.",40
44,"Meseros atentos y muy amables , la comida deliciosa, el ceviche fresco y con gran sabor , lomo saltado exquisito, ricas las papas a la Huancaína. Loa postres muy buenos 

Lo único malo es el servicio sanitario , incómodo para entrar y un sólo lavamanos... ;""Más",50
45,"Muy buen servicio.  Muy buena carta. Un placer para el paladar. Comimos  unos Tequeños de lomo y criollos como entrada. Plato fuerza crema de zapallo y ají gallina, excelente. Lugar para repetir todos losdías.",50
46,"Cócteles fabulosos. Buenas entradas, ensaladas jaranda criolla deliciosa. Papas bravasas, carne pollo lomo salteado, empanadas, rocoto. Etc...... el paladar a disfrutar",50
47,"Como lo dije en otros comentarios, es un restaurante confiable, sabes que siempre la comida y la atención van a estar bien. Comida sabrosa, tipo casero, personal muy amable, en un ambiente cálido y acogedor. Precios razonables",50
48,"Restaurante con excelente vista al mar. Platos muy gourmet y porciones justas, pero lejos lo mejor es el postre.",50
49,"Comí en esta sucursal del Tanta en mi visita al Centro Comercial Larcomar en Lima...Esperé casi 50 minutos por mi mesa pero valió la pena...El sazón esmerado en la conjunción de diversos métodos de cocción, produce un sabor resultante equilibrado y muy agradable.. Mención especial... ;""Más",40
50,"Ubicado en el centro comercial Larcomar en Miraflotes, es un lugar muy popular entre yuppies y turistas. Buena presentacion,menu variado, precios apropiados para el lugar.",40
51,"Muy atento el personal y la comida excelente. Los postres, deliciosos. Va mucha gente por lo que podría haber espera. Sábado hora de almuerzo.",40
52,"Lugar cómodo que sirve comida típica peruana muy rica, opciones para todos los gustos, rico sazón, instalaciones cómodas, bien servicio del personal, hay varios por toda la ciudad de Lima, no te pierdas comer aquí, probarás diversos platillos peruanos a precios accesibles",50
53,"Ojo siempre he defendido a Tanta pero esta vez fue complicado, piso sucio, mesas feas mal acabadas, atencion lenta, falta algo ojo !!!",30
54,"Tanta es ahora un lugar para comer comida sencilla sin sabor, el lugar es lindo, cómodo y excelente atención, pero como mencioné anteriormente la comida está cerca de ser sosa, esto fue en Av Vasco Núñez de Balboa 660, Miraflores, también he ido al del... ;""Más",30
55,"Comida peruana buenasa. Atención normal. Los locales los están mejorando poco a poco. Ambiente típico con decoración peruana",40
56,"Lugar agradable, buena comida, muy buena atención por parte de los camareros que saben qué recomendar de la carta.",40
57,"Este es uno de los restaurantes más confiables de Miraflores que está abierto hasta tarde. El local es amplio, bien puesto, con buena iluminación, excelente servicio.

Con la comida no hay pierde, muy buena, fresca, con un sabor casero y presentación gourmet. Totalmente recomendable.",50
58,"Bien atendidos y con sabrosos platos en Tanta de Larcomar
En el aeropuerto conocí y probé los montaditos. Una delicia esos pequeños sandwiches que junto a una sabrosa y jugosa empanada de lomo saltado me dejaron totalmente almorzado, sobre todo considerando que en el avión... ;""Más",40
59,"Definitivamente este es uno de los mejores restaurantes de Perú..!! 
Siempre es una buena idea ir y disfrutar de sus platos.
La atención y servicio de sus dependientes es muy buena. 
Me encanta la limonada de hierba buena que tienen - Super Recomendada..!!",50
60,"He venido a Lima con unos amigos y me parece un restaurante que te permite disfrutar de la buena gastronomía, el lomo saltado es un plato de absoluta calidad. Gracias!! Ah! Excelente servicio.",50
61,"Absolutamente recomendable, buena gastronomía y buenos tragos.
Ambientado agradablemente, con una mezcla de terraza y techado.
Amplio y de buen gusto para todo público",40
62,"En esta ocasión visité la sede de la Avenida Primavera (no la encontré entre las opciones de TripAdvisor) y tuve una muy buena experiencia. Recuerdo que hace un par de años visité la sede de Salaverry y ésta no satisfizo mis expectativas, sin embargo, esta... ;""Más",40
63,"Me encanta ir a cenar con mi familia al Restaurante que está ubicado en Larcomar, pues todos quedan muy satisfechos con los platos que allí se ofrecen.  Excelente atención con un ambiente propicio para quienes nos gusta contemplar el mar",50
64,"Muy rico restaurante que cien a con diversas sucursales, nosotros fuimos al del centro, detrás de la municipalidad.
Tiene una carta muy variada y con excelentes platos, sensacionales picadillos y jugos naturales, atención excelente.",50
65,"Llegamos al restaurante y nos ofrecieron un daikiri de frutas de la estación que a toda la familia le callo mal. Estuvimos enfermos por dos días luego del almuerzo en TanTa. No se si usarían agua del grifo o fruta mal lavada. Además la atención... ;""Más",10
66,"No esperas encontrar en el típico gran centro comercial lleno de tiendas y comida rápida un restaurante que ofrezca comida tradicional, en ningún sitio. En Lima no ocurre esto. El Tanta ofrece una carta tradicional más que interesante, a buen precio y con una calidad... ;""Más",40
67,"Muy buena comida, bebidas y todo cuanto ofrecen, nunca nos hemos sentido decepcionados, todo cuanto cocina está muy bien sazonado, presentado y la
Atención siempre grata, me encantan los restaurantes de Gastón, cuida como nadie de la imagen de la cocina peruana y los postres... ;""Más",50
68,"Excelente comida a precios de acuerdo a la calidad de servicio y de alimentos, abrebocas recomendados.",50
69,"Excelente atención, muy buena comida en un ambiente perfecto en Larcomar, la carta muy variada y los tragos buenísimos, muy recomendable.",50
70,"El sitio tiene una excelente vista y el lugar es muy acogedor. Sin embargo NO SE TE OCURRA ir un Domingo a medio dia, a no ser de que quieras esperar 1 hora en la fila y 1 hora por la comida, que no es... ;""Más",10
71,"Un restaurante con sazón. Los platillos tienen un toque especial de la casa. Los precios si son considerables, pero vale la pena visitar.",50
72,"Me encanta Tanta, siempre sus platos especiales y la típica comida peruana con el toque de Gaston. A mi nunca me decepciona. La atención de los mozos es buenísima.  Regreso siempre. La calidad se mantiene.",50
73,"Escuche mucho de este lugar recomendado por locales y por el prestigio de del chef Gastón.

Llegue al restaurante y con buen comensal que no vive en el país le pedí al mesero su recomendación me ofreció un plata moderadamente a alto (50 soles) sin... ;""Más",30
74,"Me gusta Tanta, ofrece platos muy ricos, variados y para todos los gustos. Sus postres son muy buenos 😋",50
75,"Hay un platillo que reúne varias entradas y es genial para probar parte de la gastronomía representativa de Peru. Me gusto mucho la comida y sobretodo la vista ya que la plaza está situada en un acantilado, mejoraría un poquito la atención del staff ya... ;""Más",50
76,"Maravilloso, cumple todos los estandares de calidad de los Tanta. Los sabores inigualables, el personal super amable y como estaba de cumpleaños me regalaron el postre!. Una vista muy bonita",50
77,"Por razones de tiempo y comodidad terminamos almorzando en el Tanta del aeropuerto, pensé que sería igual que el de Santiago, que me encanta pero me gusto más todavía, tienen un mesón de tapas muy variadas y exquisitas, una carta parecida a la de Santiago... ;""Más",40
78,"Excelente comida, muy sabrosa y bien preparada.
La atención es muy amable y profesional.
El precio es un poco alto en comparación con otros restaurantes de Lima",50
79,"Regresé después de un tiempo y encontré que la calidad de la comida había mejorado y la carta era más variada. El local cómodo con buena infraestructura y la atención buena sin ser nada especial. Los precios son cómodos y tiene lugar donde estacionar el... ;""Más",40
80,"De lo mejor de la comida Peruana, ceviche del mercado, lomo saltado, asado de la abuela, asado de tira de siempre, son algunos de los deliciosos platillos que no decepcionaran al paladar exigente, atención de lo mejor, los meseros prestos a atender a los comensales,",50
81,"Popular restaurante local en el centro comercial Larcomar. Sirve platos típicos peruanos de cierta calidad. Muy buena barra de cócteles. Gran servicio y buen ambiente. Precios altos",40
82,"En un viaje de un mes a Peru, fuimos un día a comer, después de haber visitado 4 restaurantes diferentes de Gaston Acurio. La comida muy buena a buen precio. Sin embargo, el trato de los camareros no nos gustó nada, en comparación con la... ;""Más",30
83,"Almuerzo para dos. Pedimos ceviche, lomo saltado y trucha a la plancha. Todo buenísimo, particularmente el ceviche; pescado fresco y cebolla de buen sabor.
Muy cordial y respetuosa atención. Los precios están bien, no es caro para la comida tan buena que sirven.

Para volver.",40
84,"La variedad de platos locales que tiene y la calidad de los mismos hace que sea un sitio al que hay que ir sí o sí si se está unos días en Lima. No tiene demasiado ambiente tradicional, es más bien moderno, pero los platos... ;""Más",40
85,"Almorzar Cenar o tomar sólo un trago con unos  Piqueos!!! Es el lugar.. buenos tragos  con la hermosa  vista del atardecer y el hermoso  Pacífico  muy buena atención  y todo muy rico recomendable",50
86,"Fuimos a la sucursal dentro del aeropuerto de Lima, estuvimos horas y no fuimos molestadas o apresuradas a pesar que de inicio sólo pedimos bebidas ya que estábamos arreglando el tema de unos vuelos y hasta que no terminamos eso, ya pedimos platillos para comer... ;""Más",40
87,"Guiñas a almorzar, es un sitio moderno y elegante frente al mar. El servicio rápido y muy amable. La comida exquisita. Tomamos lomo saltado y unas Cuzqueñas. De postre Turrón, pese a la insistencia de los camareros, no nos gusto, muy empalagoso. Por lo demás... ;""Más",40
88,"Tienen muy buena ubicación, cerca a los hoteles, en Larcomar y ofrecen una excelente atención. La comida es muy sabrosa.
El personal es amable y responden pronto los pedidos.
La vista al mar es fabulosa!!!",40
89,"Este restaurante está ubicado cerca del hotel. Es un lugar para ir a comer algo no muy rebuscado pero de buena calidad. Se recomienda el ceviche con una buena cerveza, para conversar después de una largo día de trabajo. No es un lugar lujoso, pero... ;""Más",30
90,"Me encantó,la variedad de platos el lomito saltado y las ensaladas frescas. La vista espectacular y la atención de los meseros 10/10.",50
91,"Fuimos por el cumpleaños de mi cuñado. Mi primera experiencia en Tanta no fue buena, pero la 2da si que ha sido extraordinaria. La comida estaba deliciosa, pedimos un piqueo que alcanzó para 2 personas y estaba delicioso: tenía anticucho, papa a la huancaina, causa,... ;""Más",50
92,"En nuestro viaje a Peru tuve la oportunidad de ir dos veces a Tanta, la primera por cena (Milanesa a lo Pobre, creo que así se llamaba el plato) y la segunda al desayuno (Desayuno Camionero, excelente nombre para el plato) coincidencias en ambos lagos....... ;""Más",50
93,"Buena comida, buena ambientación. El mesero nos dio excelentes recomendaciones de platos y lo pasamos muy bien. El barman nos enseñó a preparar Pisco Sour. Que más pedir? Recomendamos 100%",50
94,"Fui 3 veces, una vez a tomar un café con algo dulce que estuvo delicioso, una noche a cenar en la que comimos un pastel de choclo muy rico  y la última vez en el aeropuerto de lima. Nos atendieron muy bien y la comida... ;""Más",40
95,"Un restaurante con comidas típicas peruanas, tragos y cocteles impecables. Variedad de productos, muy buena atención y ambiente inmejorable",50
96,"Es un buen restaurante, donde puedes encontrar varios platos tìpicos de la comida criolla y cuyo precio no es excesivo. Buenos ravioles, sanguches...",40
97,"Un lugar familiar, con bonita vista al mar,buena comida y variedad de postres muy buenos.
Muy buen lugar para comer rico sin pagar demasiado dinero.",40
98,"Excelente opción para comer, con buena vista al pacifico, la carta está muy bien y cuenta con opciones de comida internacional y típica",40
99,"Un punto a favor de este restaurante es que está abierto un poco más tarde que los otros de la zona y como siempre, vas a encontrar buena comida. Les recomiendo el sandwich de asado, muy sabroso. Los precios son razonables.",40
100,"El lugar era estupendo, con vista al Pacífico y las luces de la bahía; los platos muy buenos. Restaurante popular, pues sus precios son medios con un buena calidad.",40
101,"Esta cadena de restaurantes peruanos que me dicen es de Gastón , nos presenta una variada carta de platos típicos peruanos, con buena atención y poco tiempo de espera! Vale la pena como opción en lima , este está ubicado en lacomar, un bonito y... ;""Más",40
102,"Estuve buscando menestrón criollo y al fin lo encontré, la comida en tanta muy buena aunque el servicio es un poco lento",40
103,"La comida es muy buena. Nos trataron de forma exquisita. Teniamos prisa y se esforzaron por servirnos rápido. Todo el personal muy amable y la comida buenisima",50
104,"Puedes encontrar este restaurante en varios lugares, y en varias ciudades y siempre está bien. Cocina muy buena, bien presentado, a un precio algo más caro de lo habitual pero creo que merece la pena. Buena calidad y buen servicio.",40
105,"La comida es deliciosa y porciones generosas, no exageran con los precios. La carta es amplia y variada, para todos los gustos. Buena atención y los locales son bonitos y cómodos. Fui con unos amigos argentinos y les encantó, durante su visita lo visitamos 4... ;""Más",40
106,"La comida fue buena, pero no diría MUY buena. El servicio sí lo fue, creo que destacaría el servicio y la presentación del producto, más no la comida en sí. El local es acogedor. 
Por otro lado, no ofrecen muchos platos y en cuanto a... ;""Más",30
107,"Recomendado para empezar el tour gastronómico en Peru, las tablas que ofrecen tienen gran variedad de comidas típicas con sabores y colores exquisitos, el precio no es sumamente elevado y ofrece una gran variedad de platos y piqueos",40
108,"Un domingo en busca de seguir conociendo platos peruanos, llegamos a este restaurante.
Había lista de espera para acceder a una mesa pero valía la pena 
La carta no me tentaba tanto pero cuando me decidí, pude disfrutar de una exquisita preparación y que mejor... ;""Más",40
109,"Primer restaurante que probamos recomendado por los del hotel.
No nos dejo indiferentes. Probamos el ceviche, el lomo saltado y el arroz con chorizo y estaba todo delicioso y con buenas cantidades. Nos gusto tanto que en cuzco fuimos al tanta que hay tambien alli.... ;""Más",50
110,"Un lugar privilegiado en Larcomar con vistas a la hermosa costa limeña.  La comida es excelente en calidad, cantidad, presentación. La atención perfecta. Muy recomendable",50
111,"Cochlo, Papa Huancaina, Ceviche, Causa limeña, Mazamorra Morada y arroz con dulce!! Pídanlo les encantará! Ahhh y no se olviden del Pisco Sour!! 🇵🇪",50
112,"Soy asidua al Tanta Chacarilla me encanta porque siempre hay lo que me gusta y si no lo hay en la carta  lo preparan para ti.
Los desayunos con el yogurt griego y los ricos crossant sobre todo el de almendras son exquisitos.
En el... ;""Más",50
113,"Fuimos a local que esta en Larcomar. Hermoso lugar con vistas fantasticas. Los platos de mut buena calidad y presentacion.  Buen servicio y atencion del personal",50
114,"muy lindo lugar con vista al mar....
 se puede degustar varios platos ,pero nosotros ordenamos seviche (excelente) y lo acompañamos con pisco sour. muy rico .lastima que no era época de mariscos para pedir la variante de pulpo que es exquisito.
también podes realizar una... ;""Más",40
115,"La comida es muy buena y la atención no fue la mejor pero era pasable. Sin embargo, me pareció un poco caro y la carta no es amplia. A mi parecer ofrecen pocos platos.",30
116,"Un excelente restaurante con variedad de platos y comida exquisita. Ubicado en el lindo centro comercial Larcomar presenta una vista espectacular del malecón y el Oceáno Pacífico. La comida es riquísima y en cantidad agradable. Definitivamente un restaurante bonito y recomendado para las personas que... ;""Más",50
117,"Fui porque me lo recomendaron porque la carta no me llamó la atención, sin embargo a medida que fui probando platos me enganchó su sabor y presentación. Si vas a Lima visita un Tanta. Te recomiendo el cebiche, la empanadilla de langostinos y la limonada... ;""Más",50
118,"Los Tanta son siempre buenos en todos los aspectos. La comida de primera, buenísima atención, bebidas y algo que te sorprenda. Una elección segura. 

Esta vez comimos tallarines con pollo, empanada de langostinos con toque de picante y el delicioso Rocoto relleno!!

Maravilloso! Gracias, nos... ;""Más",50
119,"Fuimos, nos sentamos, esperamos mucho tiempo para que nos trajeran la carta. Pedimos pulpo y no había. 
Nos fuimos. 
Lugar lindo, pero nada más.",20
120,"Cadena perteneciente a reconocido chef. Concepto casual de platos clasicos Peruanos. La verdad ya los he visitado en varias ocaciónes y no ha sido una experiencia del otro mundo a pesar de ser tan reconocido.",30
121,"Variado y exelente atencion, un lugar calido y lleno de platos para degustar que estan muy bien presentados. Un precio acorde y gran variedad de tragos.",40
122,"Una vez más ... Tanta! Porque nos encanta su comida... pero el personal si que te puede hacer pasar malos ratos. 
Dicen que es cuestión de suerte ... o de mala suerte... pero en Tanta Plaza San Miguel, después que te entregan los platos de... ;""Más",30
123,"Muy bueno el aeropuerto de quinoa con tortilla de huevo por encima. Lo malo que no reservan y siempre tienes que esperar mucho entre semana",40
124,"Fue una tarde muy linda compartida con la familia. La comida fue exquisita y el ambiente muy bueno.
Disfrutamos mucho.",40
125,"Muy amables en la atención, fuimos el día de mi cumpleaños ye regalaron un trozo de torta y los mozos cantaron muy cumpleaños muy simpático todo, buen ambiente y la comida rica. Variedad de postres 👌🏼😋",50
126,"Tuve la oportunidad de visitar Tanta que está en Larcomar y en el centro de Lima.
Sinceramente me quedo con Tanta de Larcomar sin ser algo espectacular es mucho mejor que el del centro de Lima.
La comida de fusión es algo normal nada espectacular.",30
127,"Cada vez que vamos a Lima nos gusta tomar desayuno en diferentes sitios. Esta vez fuimos al nuevo local de Tanta y superó al anterior en todo sentido. El local es muy acogedor y puedes disfrutar de un desayuno maravilloso con la tranquilidad que pocos... ;""Más",50
128,"Muy buena comida, en Real plaza. Menú variado, con predominio de comida peruana. Vale la pena visitarlo",50
129,"Queríamos algo especial para despedirnos de un país del que acabamos completamente enamorados, y terminar igual que hemos comido durante todo el viaje, de manera exquisita. Así que decidimos ir a comer a Tanta de Gastón y desde que llegamos al local vimos que no... ;""Más",50
130,"Todo muy rico, recomendable, destacó los pisco sour catedral! No tomar más de 2 porque son muy fuertes. Ceviche muy rico, variedad de postres maravillosos!!!",50
131,"De vuelta a este restaurante porque ofrece muchas opciones y además está abierto un poco más tarde que los demás de la zona. Vayan a lo seguro, la comida es siempre buena y la atención también. Los precios no son exageradamente altos.

Revisen la nueva... ;""Más",40
132,"Fui al Tanta en Lima porque esperaba que fueran mejores que el de Santiago-Chile, pero no fue así... incluso considero mejor al de Chile. Sigue siendo un buen, restaurant, pero no de mis recomendaciones para visitar si es que quieren uno excelente.",40
133,"Excelente servicio, la comida muy buena, no es caro y es muy agradable, la vista ahí es inmejorable.",40
134,"Es uno de los clásicos de Peru que se pueden disfrutar en varios lugares del mundo. La carta no varió mucho con los años pero la calidad de la comida sigue siendo muy buena. El único punto flaco es que los camareros no conocían los... ;""Más",40
135,"Tanta resume en su menú lo mejor de los platos típicos peruanos. Excelente atención, calidad y precios.",50
136,"Recomiendo este lugar por la ubicación, la buena atención y la excelente comida.
Además los precios son bastante coherentes teniendo en cuenta lo bien que se come.
Les recomiendo la quinoa de la casa que es particularmente sabrosa.",50
137,"Por lejos mi Restaurant favorito, todo es exquisito, lindas presentaciones, atención muy buena, cordial y precios acorde a todo lo que ofrecen, si vienen a lima no pueden dejar de pasar.",50
138,"Fui con mi madre y pedimos un tiradito de salmón, una ensalada de quinua, ravioles rellenos de alcachofa y un ceviche. Estaba todo exquisito! Tengan cuidado con el pisco sour que está engañador!",50
139,"Muy buena carta, variada y excelente calidad y tamaño. Los jugos y los postres deliciosos .
Atención de primera",50
140,"Con amigas visite el lugar este mes de mayo. Probé la Causa limeña (de pollo). Una delicia y muy bien presentada en el plato. Acompañado con un jugo de Maracuya. Excelente lugar junto al mar dentro del shopping Larcomar",30
141,"Buena atención y rica comida.
Sentados en una mesa de la terraza con una linda vista hacia el mar! Muy agradable",40
142,"Este lugar está bastante de moda y casi siempre está lleno . El servicio es bastante rápido y tienen gran variedad de cervezas artesanales . La comida sin embargo es bastante decepcionante y no ofrecen nada que te haga desear volver",30
143,"這餐廳在利馬有幾家分店，我們只試了這一間。點了袐魯雞湯(Aguadito de Pollo), 炒牛內配飯(Lomo Saltado)和招牌雞翼(Tanta Wings)。Lomo Saltado跟中式的炒牛肉有點像，而Tanta Wings就和中式的蜜糖雞翼很相似，只是用的是袐魯香料。",40
144,"Muy buena comida!! todo muy rico y los diferentes piscos deliciosos!! muy buena atención del personal del restaurant.",50
145,"El restaurante lo han remodelado totalmente, ahora es bastante grande y bien puesto, con varios ambientes muy agradables e iluminados. La carta es amplia, sin llegar a ser infinita, con muchas opciones para elegir. La comida es muy buena, pero ojo que los platos no... ;""Más",50
146,"Un lugar lindo y la comida y tragos de gran nivel, super recomendado para comenzar y terminar tu estadía en Lima, la atención en muy amable",50
147,"Fuimos al tanta del shopping Jockey de lima.
La atención fue muy buena .
Es una excelente opción para comer rico y tranquilo en un mall.
La comida es fresca y además su precio es adecuado.",40
148,"El local esta en un centro comercial. Tuvimos que esperar unos 20 minutos para sentarnos, pero el servicio fue muy bueno. Solamente pedimos el aji de gallina y el asado de la abuela. El ají nos encantó, de los mejores que hemos comido. 

Lugar agradable,... ;""Más",40
149,"Very tasty!! Excellent juice and awesome combination. Recomendable e imperdible jugo, al paladar una delicia.",40
150,"Visite el local de Lacomar. En general buena la comida. La variedad de causa como plato de entrada excelente. Milanesa de carne nada especial. Los arroces y el pescado del día muy buenos",40
151,"Buena selección de platos peruanos a precio razonable. Vistas a la costa limeña, ambiente agradable y camareros simpáticos.",50
152,"Los platos están servidos con gusto, decorados con arte, son muy abundantes. 
La comida deliciosa,cenamos en un restaurante y desayunamos en el otro delante de la playa. Servicio atento y muy amable. 
Postres impresionantes. 
El pisco inmejorable!!!!",40
153,"Por la calidad que tiene le daría 4 tenedores, asimismo los precios me parecen un poco elevados, la calidad es optima pero aun les falta mejorar",40
154,"Tanta es un local muy hermoso y con muy buena comida. Pudes comer los mas conocidos classicos Peruanos y tener una agradable experiencia.",40
155,"La comida estuvo muy buena, el clásico lomo saltado y asado de tira con fideos verdes muy sabroso y para terminar unos ricos postres.
La atención buena el mozo un poco lento",40
156,"Muy rico y lindo lugar en Larcomar
No duden en pedir las conchitas a la parmesana 
Los meseros súper atentos",50
